country,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),,"GDP (billions PPP)",GDP per capita (PPP),"GDP growth (annual %)","health expenditure % of GDP","health expenditure per person","education expenditure % of GDP","education expenditure per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Laos,LAO,"7,000,000","230,800",,36.7,-,0.601,4.62,37.80,,40.9,"5,710",7,2.8,-,2.9,59,11,1.5,79.3,26.30,,7,6,0.43,-0.4,-0.7,-0.880,-1.05,41.40,33.10,34.10,86.70,53.60,20.00,27.5
Latvia,LVA,"2,000,000","62,249",,34.5,17.1,0.847,6.09,66.10,,50.6,"25,710",2.7,5.8,"1,429",5.3,828,16,9.9,59,37.00,,2,2,0.46,0.9,1.2,0.930,-0.94,58.90,45.40,68.30,84.00,73.60,60.00,16.0
Lebanon,LBN,"4,600,000","10,230",,-,21.9,0.757,5.15,44.80,,85.2,"18,525",1,7.4,"1,117",-,-,11,6.8,78.2,26.90,,6,4,-1.59,-0.5,-0.3,-0.820,0.54,33.60,20.20,39.70,91.90,53.20,50.00,3.1
Lesotho,LSO,"1,900,000","30,355",,63.2,16.7,0.520,-,29.50,,7.0,"3,601",2.5,8.4,251,-,-,11,27.4,23.8,50.40,,3,3,-0.25,-0.9,-0.3,-0.270,-1.00,52.70,32.90,49.40,48.20,53.90,40.00,22.9
Liberia,LBR,"4,400,000","96,320",,32.0,22.2,0.435,4.42,30.60,,3.8,855,0,15.2,128,-,-,-,4,59.4,36.80,,3,3,-0.41,-1.4,-1.0,-0.970,-0.03,42.40,32.00,28.20,77.50,50.90,20.00,12.3
Libya,LBY,"6,000,000","1,759,540",,-,-,0.706,5.65,-,,55.4,"8,679",-6.4,-,-,-,-,-,19.2,0,92.90,,7,6,-2.33,-1.8,-2.2,-1.780,-0.69,22.10,23.10,5.20,90.50,-,-,16.0
Liechtenstein,LIE,"38,000",160,,-,-,0.916,-,-,,6.1,"160,526",1.2,-,-,-,-,15,2.4,-,-,,2,1,1.5,1.8,1.5,1.670,-1.59,-,-,-,-,-,80.00,12.0
Lithuania,LTU,"2,900,000","62,680",,37.9,21.0,0.858,6.27,67.4,,86.1,"29,972",1.6,6.5,"1,875",4.5,742,17,9.2,63.9,34.70,,1,1,0.78,1.0,1.2,0.990,2.06,66.70,50.90,73.80,86.40,75.30,70.00,21.3
Luxembourg,LUX,"600,000","2,586",,30.4,13.2,0.904,7.06,83.20,,59.9,"104,003",4.5,6.0,"6,382",4.0,"4,762",14,5.9,48.5,41.40,,1,1,1.34,1.7,1.7,1.740,0.55,77.90,79.00,82.70,65.10,76.40,80.00,28.3
Macedonia,MKD,"2,100,000","25,433",,33.7,23.4,-,5.23,52.50,,30.3,"14,597",3.7,6.1,857,-,-,13,26.7,70.3,31.50,,4,3,-0.25,0.1,0.5,-0.240,1.99,57.00,47.40,64.80,91.60,71.30,60.00,34.2
Madagascar,MDG,"26,000,000","581,540",,41.0,-,0.519,4.08,31.10,,37.5,"1,505",3,5.2,77,-,-,11,2.1,92.9,15.40,,3,4,-0.33,-1.1,-0.7,-0.860,-1.05,21.40,17.80,33.20,90.30,56.80,50.00,19.2
Malawi,MWI,"19,000,000","94,080",,46.1,22.1,0.477,3.42,32.50,,21.1,"1,135",3,9.3,108,4.8,17,11,6.7,70.7,31.30,,3,3,-0.27,-0.7,-0.8,-0.370,-0.65,47.10,28.90,33.10,76.90,52.00,50.00,16.7
Malaysia,MYS,"32,000,000","328,657",,46.2,30.3,0.802,-,59.80,,863.3,"27,267",5,4.0,"1,064",5.2,583,13,3.3,81.3,24.90,,4,4,0.16,0.8,0.7,0.410,0.03,65.20,54.80,83.80,85.60,74.50,50.00,10.4
Maldives,MDV,"400,000",298,,38.4,-,0.717,-,-,,5.5,"15,553",1.9,11.5,"1,514",3.5,314,-,3.2,45.5,42.60,,5,5,0.26,-0.5,-0.4,-0.620,-0.79,38.80,36.60,45.00,94.30,51.10,30.00,5.9
Mali,MLI,"19,000,000","1,220,190",,40.1,-,0.427,4.74,29.70,,38.1,"2,266",6.1,5.8,118,3.6,31,8,8.1,85.3,22.20,,5,4,-1.91,-0.9,-0.6,-0.780,-0.63,32.40,31.40,31.90,68.10,57.60,40.00,8.8
Malta,MLT,"400,000",316,,28.1,29.0,0.878,6.68,68.80,,17.3,"39,834",6.3,9.6,"3,471",7.2,"1,874",15,5.3,51,40.40,,1,1,1.27,1.0,1.3,1.140,0.74,62.80,49.90,68.10,64.70,68.50,60.00,11.9
Marshall Islands,MHL,"53,000",181,,-,-,0.708,-,-,,-,-,-,22.1,863,-,-,-,-,-,-,,1,1,0.2,-1.6,-1.0,0.140,0.00,-,-,-,-,-,-,9.1
Mauritania,MRT,"3,800,000","1,030,700",,37.0,18.0,0.520,4.68,28.90,,16.4,"4,328",1.9,4.6,177,-,-,9,11.7,72.8,30.10,,6,5,-0.62,-0.7,-0.8,-0.600,-0.75,17.60,28.90,23.90,75.90,54.00,40.00,25.2
Mauritius,MUS,"1,300,000","2,030",,35.9,27.4,0.790,6.17,60.20,,25.9,"20,422",3.4,5.5,"1,099",4.9,499,15,7.8,80.7,25.40,,1,2,0.99,0.9,1.0,0.680,0.20,69.60,52.10,68.70,91.00,75.10,70.00,11.6
Mexico,MEX,"129,000,000","1,943,945",,48.2,40.7,0.774,6.41,49.1,,2315.7,"18,938",2.5,5.9,"1,009",5.3,564,13,4,78.1,27.00,,3,3,-0.65,0.0,0.2,-0.570,-0.93,39.00,26.90,58.60,75.70,64.80,60.00,42.6
Micronesia,FSM,"100,000",702,,61.1,-,0.627,-,-,,0.3,"3,234",-0.2,13.1,458,-,-,-,-,7.4,55.60,,1,1,1.2,0.1,-1.0,0.010,0.75,25.40,38.80,5.20,93.20,52.30,30.00,0.0
Moldova,MDA,"3,600,000","32,891",,26.8,-,0.700,5.33,48.7,,18.9,"5,328",-1.1,10.2,515,7.5,168,12,5,56.7,38.00,,3,3,-0.24,-0.5,0.0,-0.410,-0.80,26.30,26.60,53.50,85.30,58.40,50.00,22.8
Monaco,MCO,"39,000",2,,-,-,-,-,-,,-,-,-,2.0,"3,407",1.0,-,-,-,-,-,,3,1,1.65,-,-,-,-,-,-,-,-,-,-,20.8
Mongolia,MNG,"3,000,000","1,553,556",,34.0,14.3,0.741,5.33,50.6,,37.0,"12,275",2.3,3.9,470,4.7,197,15,6.7,57.1,37.80,,1,2,0.82,-0.3,-0.1,-0.300,-0.45,30.90,34.80,51.00,88.40,55.70,60.00,17.1
Montenegro,MNE,"600,000","13,452",,31.9,25.1,0.814,5.61,-,,10.4,"16,643",4.1,6.0,957,-,-,15,17.5,35.7,46.30,,3,3,0.01,0.2,0.3,0.010,-0.09,51.30,38.10,54.20,85.20,64.30,50.00,23.5
Morocco,MAR,"36,000,000","446,300",,40.9,32.7,0.667,5.31,45.8,,281.8,"8,330",4.5,5.5,435,-,-,12,10,70.5,31.40,,5,5,-0.41,-0.2,-0.2,-0.170,-0.13,44.30,41.30,53.80,70.50,61.90,70.00,20.5
Mozambique,MOZ,"30,000,000","786,380",,45.6,23.7,0.437,4.28,26.70,,34.9,"1,215",6.3,5.4,64,-,-,10,24.4,60.7,36.20,,4,4,-0.98,-0.9,-0.7,-1.010,-0.86,36.30,28.20,35.40,70.60,46.30,50.00,39.6
Myanmar,MMR,"53,000,000","676,575",,-,24.7,0.578,4.15,37.00,,304.7,"5,832",7,4.9,267,-,-,-,0.8,84.7,22.60,,5,5,-1.08,-1.1,-0.8,-0.950,-0.56,17.60,28.20,32.50,86.30,53.90,20.00,10.2
Namibia,NAM,"2,300,000","823,290",,59.7,21.6,0.647,4.44,39.10,,26.0,"11,290",4.5,8.9,942,-,-,-,25.6,50.4,40.70,,2,2,0.65,0.2,-0.2,0.240,0.32,54.20,45.40,56.60,63.00,58.50,40.00,41.3
Nauru,NRU,"14,000",21,,-,-,-,-,-,,-,-,-,4.8,"1,064",-,-,9,-,-,-,,2,2,0.57,-0.4,-1.1,-0.730,-0.47,-,-,-,-,-,-,10.5
Nepal,NPL,"29,000,000","143,351",,32.8,30.5,0.574,4.74,41.70,,71.5,"2,479",3.4,6.1,151,4.0,28,12,3.2,87.6,20.30,,3,4,-0.66,-0.9,-0.7,-0.680,-0.75,36.20,24.60,37.50,84.20,54.10,30.00,29.6
Netherlands,NLD,"17,000,000","33,893",,30.3,35.3,0.931,7.46,80.30,,869.4,"51,049",1.9,10.7,"5,313",5.5,"2,884",18,6.2,39.1,45.00,,1,1,0.92,1.9,2.1,1.830,1.87,74.10,86.00,87.90,52.50,76.20,80.00,36.0
New Zealand,NZL,"4,700,000","264,537",,36.2,31.3,0.917,7.33,78.60,,177.0,"37,294",3.4,9.3,"3,530",6.4,"2,832",19,5.2,49.5,41.00,,1,1,1.59,1.8,2.1,1.920,2.24,88.40,95.70,95.10,70.50,84.20,80.00,34.2
Nicaragua,NIC,"6,000,000","119,990",,47.1,38.7,0.658,6.48,43.50,,33.6,"5,452",4.5,7.8,406,-,-,-,5.9,80,25.80,,5,4,-0.05,-0.6,-0.7,-0.640,-0.87,19.00,24.20,29.80,77.20,58.90,50.00,45.7
Niger,NER,"21,000,000","1,266,700",,34.0,16.8,0.354,4.62,-,,20.1,"1,107",4,7.2,68,6.7,29,5,2.6,72.9,30.10,,4,4,-1.3,-0.7,-0.7,-0.680,-0.65,32.60,30.40,37.40,73.30,49.50,40.00,17.0
Nigeria,NGA,"191,000,000","910,768",,48.8,22.2,0.532,5.32,26.50,,1091.2,"5,942",2.7,3.6,215,-,-,9,5,96.3,11.00,,3,5,-1.94,-1.0,-0.9,-0.870,-1.07,39.60,14.40,38.00,84.40,58.50,40.00,5.6
Norway,NOR,"5,000,000","304,282",,26.8,36.8,0.953,7.58,85.30,,364.4,"69,250",1.6,10.0,"6,222",7.7,"7,466",18,4.8,29.2,48.60,,1,1,1.15,2.0,1.8,2.020,2.24,86.00,93.60,86.40,56.40,74.30,60.00,39.6
Oman,OMN,"4,000,000","309,500",,-,21.1,0.821,-,62.10,,184.8,"46,698",4.1,2.7,"1,636",-,-,14,17.5,25,50.00,,6,5,0.74,0.2,0.4,0.430,0.25,57.40,51.50,59.50,98.50,61.00,60.00,1.2
Pakistan,PAK,"197,000,000","770,875",,30.7,31.5,0.562,5.83,27.90,,988.2,"5,106",4.2,2.7,134,2.5,32,8,5.9,88.2,19.80,,4,5,-2.4,-0.6,-0.6,-0.720,-0.78,34.00,27.30,36.00,78.50,54.40,40.00,20.6
Palau,PLW,"22,000",459,,-,-,0.798,-,-,,-,-,-,10.6,"1,611",-,-,17,-,-,-,,1,1,0.94,-0.2,-0.6,0.280,-0.47,-,-,-,-,-,-,12.5
Panama,PAN,"4,000,000","74,340",,50.7,39.5,0.789,6.57,54.5,,92.9,"23,024",5.8,7.0,"1,543",-,-,13,5.8,84.1,23.10,,2,2,0.39,0.0,0.4,0.040,-0.54,29.40,38.80,60.90,85.00,67.00,70.00,18.3
Papua New Guinea,PNG,"8,000,000","452,860",,50.9,-,0.544,-,-,,28.0,"3,541",9,3.8,99,-,-,-,2.5,82,24.50,,3,3,-0.58,-0.7,-0.7,-0.820,-0.90,55.10,33.10,38.00,71.10,55.70,30.00,0.0
Paraguay,PRY,"7,000,000","397,302",,51.7,23.3,0.702,-,46.20,,64.4,"9,396",3,7.8,724,-,-,12,5.4,82.2,24.40,,3,3,0.12,-0.8,-0.2,-0.650,-0.72,28.20,28.30,38.30,96.10,62.10,60.00,13.8
Peru,PER,"32,000,000","1,279,996",,45.3,34.6,0.750,5.71,49.30,,406.2,"12,903",3.3,5.3,671,3.7,240,13,4.9,85.6,21.90,,2,3,-0.26,-0.1,0.4,-0.500,-0.50,33.50,36.60,56.90,80.60,68.70,60.00,27.7
Philippines,PHL,"105,000,000","298,170",,44.4,35.0,0.699,5.59,44.50,,805.2,"7,728",5.8,4.4,323,-,-,13,5.9,89.3,18.90,,3,3,-1.24,-0.1,0.0,-0.410,-0.48,38.20,34.40,45.00,78.90,65.00,60.00,29.5
Poland,POL,"38,000,000","304,255",,30.8,27.5,0.865,6.20,67.70,,1054.1,"27,764",3.6,6.3,"1,704",4.9,705,16,6.2,47.8,41.70,,1,2,0.52,0.6,0.9,0.470,0.73,56.60,50.90,61.80,75.90,68.50,70.00,28.0
Portugal,PRT,"10,000,000","91,470",,33.9,24.8,0.847,5.71,70.80,,298.7,"28,933",1.5,9.0,"2,661",5.1,"1,131",17,11.2,29.8,48.40,,1,1,1.08,1.3,0.9,1.130,0.87,70.10,56.80,69.20,59.80,63.40,60.00,34.8
Qatar,QAT,"2,600,000","11,586",,-,-,0.856,-,70.80,,329.2,"127,660",3.3,2.7,"3,900",3.6,"3,131",13,0.2,60.2,36.40,,6,5,0.55,0.7,0.4,0.720,0.73,59.80,71.60,70.30,99.60,72.60,60.00,0.0
Romania,ROU,"20,000,000","229,891",,27.3,28.8,0.811,6.09,60.00,,441.6,"22,348",3.7,10.6,"1,090",3.1,313,15,6.4,66.9,33.20,,2,2,0.06,-0.2,0.5,0.390,-0.03,59.70,40.00,61.00,87.30,69.40,50.00,20.7
Russia,RUS,"144,000,000","16,377,742",,41.2,18.7,0.816,5.58,57.00,,3799.7,"26,490",-3.7,7.0,"1,414",-,-,15,5.7,62.5,35.30,,7,6,-0.67,-0.1,-0.5,-0.790,-0.89,46.90,38.10,48.70,85.80,58.20,30.00,15.8
Rwanda,RWA,"12,000,000","24,668",,50.4,19.6,0.524,-,38.00,,22.8,"1,977",6.9,3.8,143,-,-,11,2.5,77.7,27.20,,6,6,0.04,0.3,0.2,0.130,0.63,79.60,61.20,69.80,75.80,69.10,40.00,61.3
Saint Kitts and Nevis,KNA,"55,000",261,,-,-,0.778,-,-,,-,-,-,5.6,"1,443",-,-,-,-,-,-,,1,1,0.64,0.6,0.6,0.530,0.51,-,-,-,-,-,-,13.3
Saint Lucia,LCA,"200,000",606,,-,-,0.747,-,-,,2.1,"11,783",1.6,6.0,681,4.3,381,-,19.8,72.4,30.30,,1,1,1.15,0.3,0.3,0.600,0.59,69.20,50.90,67.90,75.50,67.60,40.00,16.7
Saint Vincent and the Grenadines,VCT,"100,000",389,,-,-,0.723,-,-,,1.2,"11,271",1.6,4.2,470,-,-,-,19.3,72.7,30.10,,1,1,0.9,0.3,0.3,0.430,0.72,69.20,51.50,36.70,72.70,67.70,40.00,13.0
Samoa,WSM,"200,000","2,821",,-,-,0.713,-,-,,1.1,"5,553",1.7,7.8,336,-,-,-,7.2,55.1,38.70,,2,2,1.2,0.6,-0.1,0.870,0.66,38.80,40.10,53.10,79.90,61.50,30.00,10.0
San Marino,SMR,"33,000",61,,-,-,-,-,-,,-,-,-,5.3,"3,675",-,-,15,-,-,-,,1,1,0.94,-,-,-,-,-,-,-,-,-,-,26.7
Sao Tome and Principe,STP,"200,000",964,,30.8,-,0.589,-,-,,0.6,"3,072",4,4.4,308,3.7,68,13,13.6,69.5,31.90,,2,2,0.22,-0.8,-0.8,-0.680,0.14,28.20,39.40,38.00,82.00,53.60,30.00,18.2
Saudi Arabia,SAU,"33,000,000","2,149,690",,45.9,-,0.853,6.29,62.60,,1750.9,"55,158",3.4,6.3,"3,121",-,-,16,5.5,52,40.00,,7,7,-0.62,0.3,0.0,0.100,0.36,60.20,49.90,53.10,99.70,59.60,50.00,19.9
Senegal,SEN,"16,000,000","192,530",,40.3,21.9,0.505,4.68,38.40,,39.7,"2,577",6.5,9.0,97,7.4,78,9,9.5,72.7,30.20,,2,2,-0.04,-0.3,-0.2,-0.150,-0.09,40.40,42.60,41.30,68.50,55.70,40.00,41.8
Serbia,SRB,"7,000,000","77,474",,38.7,29.0,0.787,5.12,54.90,,101.8,"14,493",0.7,9.4,"1,324",4.2,259,15,16.5,40.6,44.50,,3,2,0.1,0.2,0.0,-0.190,-0.37,48.20,36.50,46.20,83.50,62.50,50.00,34.4
Seychelles,SYC,"100,000",455,,-,-,0.797,-,59.10,,2.6,"27,602",4.4,3.4,867,-,-,14,-,63,35.10,,3,3,0.68,0.4,-0.2,0.100,0.68,38.80,38.80,60.70,73.40,61.60,30.00,21.2
Sierra Leone,SLE,"8,000,000","71,620",,34.0,15.3,0.419,4.09,32.90,,10.8,"1,672",-21.5,18.3,256,2.7,19,-,3,89.8,18.40,,3,3,0.03,-1.2,-0.9,-0.79,-0.59,29.60,22.00,33.60,79.90,51.80,20.00,12.4
Singapore,SGP,"6,000,000",709,,45.9,-,0.932,6.38,81.80,,492.6,"87,855",2,4.3,"3,681",-,-,13,1.8,90.6,17.70,,4,4,1.59,2.2,2.1,1.820,2.13,90.90,91.20,98.40,90.40,88.80,80.00,23.0
Slovakia,SVK,"5,000,000","48,105",,23.7,28.2,0.855,6.37,67.40,,170.1,"31,339",3.6,6.9,"2,062",4.2,788,15,10,44.3,43.10,,1,1,0.88,0.8,0.8,0.570,0.22,38.80,38.20,68.20,78.90,65.30,70.00,20.0
Slovenia,SVN,"2,100,000","20,151",,24.4,24.6,0.896,6.17,72.60,,66.2,"32,085",2.9,8.5,"2,734",5.3,"1,281",17,8.7,31.2,47.90,,1,1,0.89,1.2,0.6,1.020,0.81,57.70,52.10,76.60,58.70,64.80,50.00,36.7
Solomon Islands,SLB,"600,000","27,986",,-,-,0.546,-,-,,1.2,"1,973",3.3,8.0,173,-,-,-,31.4,35.6,46.30,,3,2,0.21,-1.0,-0.8,-0.210,0.11,57.30,36.80,49.40,65.50,57.50,30.00,2.0
Somalia,SOM,"15,000,000","627,337",,-,-,-,-,-,,5.9,-,3.7,-,-,-,-,-,6.6,-,-,,7,7,-2.33,-2.2,-2.3,-2.310,-1.72,25.40,17.80,33.10,-,-,-,24.4
South Africa,ZAF,"57,000,000","1,214,470",,62.5,15.9,0.699,4.51,38.5,,739.4,"13,225",1.3,8.2,"1,086",6.0,389,13,25.9,68.1,32.60,,2,2,-0.27,0.3,0.2,-0.010,-0.01,65.90,45.40,67.70,62.50,63.00,50.00,42.0
South Sudan,SSD,"13,000,000","644,329",,46.0,-,0.388,2.82,-,,1686.9,"36,416",3.2,2.5,71,1.7,22,-,19.4,42.8,43.70,,7,7,-2.46,-2.5,-1.9,-1.940,-1.71,62.00,51.50,73.10,62.00,65.10,70.00,28.5
Spain,ESP,"47,000,000","498,980",,35.9,36.0,0.891,6.23,71.80,,260.6,"12,262",5.2,9.2,"3,183",4.3,"1,268",18,5,89.3,18.90,,1,1,0.27,1.0,0.9,1.010,0.49,52.00,30.70,46.50,84.90,57.80,40.00,39.1
Sri Lanka,LKA,"21,000,000","64,630",,39.2,33.8,0.770,4.33,49.30,,176.1,"4,447",3.5,3.0,353,1.9,74,14,13.3,95.3,12.50,,3,4,-0.06,-0.2,-0.1,0.060,-0.45,21.40,21.20,27.80,85.90,49.40,20.00,5.8
Sudan,SDN,"41,000,000","1,861,484",,-,-,0.502,-,26.50,,7.9,"13,988",0.1,6.3,277,-,-,7,10,76.4,28.10,,7,7,-2.01,-1.4,-0.6,-1.110,-1.54,21.40,39.90,39.70,71.40,48.10,30.00,30.5
Suriname,SUR,"600,000","156,000",,-,25.4,0.720,-,52.70,,498.1,"49,836",4.1,6.5,"1,017",-,-,-,7.1,23.2,50.60,,2,2,0.14,-0.6,-0.5,-0.150,-0.17,88.20,92.90,92.60,43.90,76.30,80.00,25.5
Sweden,SWE,"10,000,000","410,335",,24.9,28.0,0.933,7.29,81.90,,496.0,"59,561",0.9,11.0,"5,299",7.7,"4,546",18,4.6,65.4,34.00,,1,1,0.98,1.8,1.8,1.940,2.14,82.10,82.80,84.20,70.50,81.70,90.00,43.6
Switzerland,CHE,"8,000,000","39,997",,29.5,34.3,0.944,7.47,83.80,,21.0,-,-4.8,12.1,"7,583",5.1,"4,375",16,14.3,-,-,,1,1,1.21,2.1,1.9,1.930,1.99,22.10,23.10,36.70,-,-,-,32.5
Syria,SYR,"18,000,000","183,630",,-,19.1,0.536,-,-,,1132.1,"48,095",0.7,-,-,-,-,9,4,90.4,17.80,,7,7,-2.63,-1.8,-1.8,-2.090,-1.56,69.20,70.90,84.30,76.10,76.60,60.00,13.2
Taiwan,TWN,"24,000,000","32,260",,33.6,-,-,6.36,-,,26.0,"3,008",3,6.9,-,-,-,-,10.8,71.4,30.90,,1,1,0.89,1.27,1.37,1.140,0.96,50.30,38.20,46.80,91.80,58.30,30.00,-
Tajikistan,TJK,"9,000,000","141,510",,32.6,34.2,0.650,5.83,41.30,,149.8,"3,080",7,6.1,193,-,-,11,2.6,89.8,18.50,,7,6,-0.67,-1.1,-1.1,-1.350,-1.33,34.70,31.80,38.00,79.80,59.90,50.00,19.0
Tanzania,TZA,"57,000,000","885,800",,37.6,22.1,0.538,3.35,36.00,,1164.9,"16,888",2.8,3.8,96,3.5,32,8,0.6,85.5,22.00,,4,4,-0.58,-0.6,-0.6,-0.450,-0.48,45.30,34.70,48.60,81.30,67.10,60.00,36.4
Thailand,THA,"69,000,000","510,890",,44.5,37.3,0.755,5.94,52.40,,-,-,-,3.1,610,-,-,16,-,-,-,,6,5,-0.76,0.4,0.1,0.040,-0.39,-,-,-,-,-,-,4.8
Timor-Leste,TLS,"1,200,000","14,874",,31.9,-,0.625,-,-,,5.0,"4,187",4.3,3.1,141,-,-,13,4,30.9,48.00,,2,3,0.03,-1.0,-0.7,-1.170,-0.54,13.80,32.00,29.90,97.40,48.10,20.00,32.3
Togo,TGO,"8,000,000","54,385",,46.0,13.2,0.503,4.36,34.9,,11.6,"1,550",5.3,6.6,96,4.9,30,12,6.8,73.3,29.80,,4,4,-0.74,-1.1,-0.8,-0.710,-0.71,28.20,31.40,32.70,64.30,47.80,30.00,17.6
Tonga,TON,"100,000",717,,-,-,0.726,-,-,,0.6,"5,387",2.6,5.9,324,-,-,-,4.9,68.7,32.30,,2,2,0.79,-0.2,-0.4,0.310,-0.16,25.40,40.50,62.10,85.40,63.10,20.00,3.8
Trinidad and Tobago,TTO,"1,400,000","5,128",,-,15.7,0.784,6.19,58.70,,43.6,"31,870",-1.8,6.0,"2,204",-,-,-,3.9,54.4,39.00,,2,2,0.29,0.3,0.0,-0.110,-0.36,49.80,33.10,54.90,83.50,57.70,50.00,31.0
Tunisia,TUN,"12,000,000","155,360",,40.0,26.2,0.735,4.12,49.30,,130.6,"11,634",0.8,6.7,774,-,-,15,14.8,75.5,28.60,,2,3,-1.05,-0.1,-0.4,0.070,-0.11,41.70,36.80,49.40,73.00,58.90,30.00,31.3
Turkey,TUR,"81,000,000","769,632",,40.2,26.4,0.791,5.61,53.30,,1988.3,"24,912",3.8,4.1,996,4.4,530,16,10.3,68.1,32.60,,5,6,-1.8,0.1,0.0,-0.250,-0.19,54.50,42.00,54.70,74.70,65.40,60.00,14.6
Turkmenistan,TKM,"6,000,000","469,930",,40.8,14.6,0.706,5.23,-,,95.5,"17,485",6.5,6.3,"1,004",-,-,11,8.6,92.2,16.10,,7,7,-0.15,-1.2,-2.0,-1.490,-1.48,5.00,27.30,29.80,95.90,47.10,10.00,25.8
Tuvalu,TUV,"11,000",26,,-,-,-,-,-,,-,-,-,15.0,523,-,-,-,-,-,-,,1,1,1.27,-0.7,-0.8,0.560,0.06,-,-,-,-,-,-,6.7
Uganda,UGA,"43,000,000","197,100",,39.5,19.4,0.516,4.00,30.90,,85.0,"2,068",5,7.3,139,2.3,16,10,2.3,90.9,17.40,,6,4,-0.56,-0.6,-0.2,-0.300,-1.04,40.30,28.30,43.50,73.00,62.00,40.00,34.3
Ukraine,UKR,"45,000,000","579,330",,25.5,26.4,0.751,4.31,52.50,,353.0,"8,305",-9.9,6.1,469,5.9,173,15,8.9,45,42.80,,3,3,-1.89,-0.5,-0.3,-0.710,-0.78,29.50,29.00,41.00,80.20,51.90,30.00,12.3
United Arab Emirates,ARE,"9,000,000","83,600",,-,-,0.863,7.04,70.40,,668.9,"67,871",3.9,3.5,"2,426",-,-,-,3.7,70.9,31.20,,7,6,0.63,1.4,1.0,0.800,1.13,83.40,77.30,76.30,98.40,77.60,60.00,22.5
United Kingdom,GBR,"66,000,000","241,930",,32.4,31.9,0.922,7.10,74.60,,2785.6,"42,481",2.2,9.9,"4,145",5.7,"2,664",18,4.8,44.4,43.00,,1,1,0.26,1.4,1.7,1.680,1.84,93.80,79.00,92.20,65.20,78.00,80.00,32.0
United States,USA,"326,000,000","9,147,593",,45.0,20.7,0.924,6.99,76.00,,18569.1,"57,436",2.4,16.8,"9,536",5.0,"2,729",17,4.9,56.5,38.10,,2,1,0.3,1.6,1.6,1.640,1.38,76.90,71.90,79.30,65.10,75.70,80.00,19.4
Uruguay,URY,"3,500,000","175,015",,41.6,36.1,0.804,6.34,64.20,,74.9,"21,527",1.5,9.2,"1,748",-,-,16,8.2,68.6,32.40,,1,1,1.06,0.4,0.7,0.590,1.29,67.00,71.60,69.30,78.00,69.20,30.00,20.2
Uzbekistan,UZB,"32,000,000","425,400",,36.8,29.1,0.710,6.42,43.10,,205.7,"6,563",8,6.2,383,-,-,12,8.9,65.5,33.90,,7,7,-0.28,-0.6,-1.3,-1.110,-1.16,35.30,24.20,48.70,91.00,51.50,10.00,16.0
Vanuatu,VUT,"300,000","12,189",,-,40.6,0.603,-,-,,0.7,"2,631",-0.8,3.5,106,4.9,3,-,5.4,78.5,26.80,,2,2,0.71,-0.9,-0.3,0.490,0.01,47.10,75.40,67.90,97.00,69.50,40.00,0.0
Venezuela,VEN,"32,000,000","882,050",,39.0,33.6,0.761,-,43.10,,427.0,"13,761",-5.7,3.2,579,-,-,14,6.9,57.3,37.70,,6,5,-1.18,-1.4,-2.0,-2.260,-1.36,13.80,7.50,5.20,72.50,25.20,10.00,22.2
Vietnam,VNM,"96,000,000","310,070",,34.8,40.3,0.694,5.18,50.80,,595.5,"6,429",6.7,5.7,334,-,-,-,2.2,74,29.40,,7,5,0.31,0.0,-0.4,0.070,-0.58,36.30,30.40,46.40,79.70,53.10,40.00,26.7
Yemen,YEM,"28,000,000","527,968",,37.9,22.8,0.452,3.25,23.90,,69.2,"2,375",-28.1,6.0,144,-,-,-,17.1,80.9,25.20,,7,6,-2.96,-1.9,-1.5,-1.750,-1.59,16.60,21.20,17.90,-,-,-,0.0
Zambia,ZMB,"17,000,000","743,398",,57.5,25.2,0.588,3.93,33.20,,64.9,"3,880",3.6,5.4,203,-,-,-,7.5,80.2,25.70,,4,4,0.11,-0.6,-0.5,-0.330,-0.54,40.60,36.30,46.00,72.10,54.30,50.00,18.0
Zimbabwe,ZWE,"17,000,000","386,847",,43.2,22.1,0.535,3.64,29.70,,28.6,"1,970",1.5,10.3,182,7.5,78,10,5.1,72,30.60,,6,5,-0.77,-1.2,-1.6,-1.380,-1.27,33.00,18.90,27.60,61.10,44.00,10.00,32.6